"National Pokédex
number",English,Notes
774,Minior,"Its Ability, Shields Down, allows it to change forms depending on its HP. It comes in the seven colors of the rainbow."
775,Komala,"Komala are koala-like Pokémon that are known for sleeping.[32] It is born asleep and will die asleep. However it can eat, fight, and play while asleep, too."
776,Turtonator,"Turtonator is a Mata mata turtle-like Pokémon that has very big spines on its shell. As seen in the anime, if something touches those spines, that object will detonate. Its signature move is Shell Trap."
777,Togedemaru,"Togedemaru are white-bodied rodent Pokémon which seems to be inspired by the New World porcupine, seeing as how it can stiffen the triangular spines on its back. Totem Pokémon of Sophocles's Trial in Ultra Sun and Ultra Moon. Since it can't produce its electricity very well, if there's any nearby, it will direct it to itself like a lightning rod."
778,Mimikyu,"Totem Pokémon of Acerola's Trial. Has the ability Disguise, that prevents the damage of the first attack that would hit Mimikyu before changing it to the ""Busted Form"". After that Disguise can't be activated again until either Mimikyu faints and is revived or the battle ends. If anyone busts its disguise, it will seek revenge on who ever did it, then cry as it mends its costume. A scholar once died after looking at whats underneath its costume."
779,Bruxish,Bruxish is based on the reef triggerfish.[33]it will gnash its teeth at anything and doing so will sound like grinding metal. It can also use its psychic power to deeat foes.
780,Drampa,"Its very kind to children and if they are bullied, Drampa will go and burn their house down."
781,Dhelmise,One swing of its anchor and it can OHKO a Waillord. What you see as green seaweed is actually its body.
782,Jangmo-o,"The names of Jangmo-o and its evolutions are not formatted in the way they would be in Hawaii, which the region of Alola is based on. In Hawaii, the names would be Jangmo'o, Hakamo'o and Kommo'o. It lives in caves. You can tell by the clanging noise its scales make."
783,Hakamo-o,Totem Pokémon of Kukui's Trial in the demo.
784,Kommo-o,Totem Pokémon of the Vast Poni Canyon Trial.
785,Tapu Koko,The guardian of Melemele Island.[35] Based on the Hawaiian god Kū. It's very curious but michevious.
786,Tapu Lele,The guardian of Akala Island.[35] Based on the Hawaiian god Kāne. It is very cruel and will like to play around with its foes.
787,Tapu Bulu,The guardian of Ula'ula Island.[35] Based on the Hawaiian god Lono. It can control the roots of plants to its advantage.
788,Tapu Fini,"The guardian of Poni Island.[35] Based on the Hawaiian god Kanaloa. Using the energy of the ocean waves, it can create a fog so dense, you can't see anything. According to Kahuna Hapu in the anime, Tapu Fini is said to be the bridge between the real world and the afterlife. It is said that if Tapu Fini creates its fog, one may see in the fog their deceased loved ones. If the person or Pokemon that someone who wishes to see is not in the fog, then that person or Pokemon is alive."
789,Cosmog,"A Cosmog named Nebby plays a central role in the story of Pokémon Sun, Moon, Ultra Sun and Ultra Moon. It collects dust from the atmosphere and grows."
790,Cosmoem,"Evolves into Solgaleo in Sun and Ultra Sun and Lunala in Moon and Ultra Moon. It was called in ancient times ""The cocoon of the stars."" Tied with Primal Groudon for the heaviest Pokémon."
791,Solgaleo,"The mascot for Sun, Solgaleo is a large, lion-like Pokémon that is revered as ""the beast that devours the sun"".[36] Solgaleo is adorned with a mane that resembles the sun itself.[36][37] Solgaleo can be fused with Necrozma to become Dusk Mane Necrozma. Its signature move (shared with Dusk Mane Necrozma) is Sunsteel Strike, and its signature Z-Move is Searing Sunraze Smash. Solgaleo is one of the summonable Pokémon in Super Smash Bros. Ultimate. It is also obtainable in the Pokémon Sword and Shield Crown Tundra Expansion Pass (exclusive to Pokémon Sword), by evolving a Cosmog obtained from an old lady at a house in Freezington or during Dynamax Adventures."
792,Lunala,"The mascot for Moon, Lunala is a large, bat-like Pokémon that is revered as ""the beast that calls the moon"".[36] When its wings are spread wide, Lunala resembles a night sky and crescent moon.[36][37] Lunala can be fused with Necrozma to become Dawn Wings Necrozma. Its signature move (shared with Dawn Wings Necrozma) is Moongeist Beam, and its signature Z-Move is Menacing Moonraze Maelstrom. Lunala is one of the summonable Pokémon in Super Smash Bros. Ultimate. Like Solgaleo, it is also obtainable in the Pokémon Sword and Shield Crown Tundra Expansion Pass (exclusive to Pokémon Shield), by evolving a Cosmog obtained from an old lady at a house in Freezington or during Dynamax Adventures."
793,Nihilego,"One of the Ultra Beasts, known as UB-01 Symbiont,[38] Nihilego are parasitic life forms that inject dangerously potent mind-affecting neurotoxins into their hosts. As seen in the climax of Sun and Moon, and in one of the episodes of the Sun and Moon anime, should the need arise, they can also physically take control over their victims to feed off of them. If the Ultra Beast takes control of a Trainer, and if that Trainer possessed has a team of Pokémon, the Pokémon will be placed under Nihilego's control, indicated by an aura they emit when they are under the aforementioned Ultra Beast's control. When battled, it is impossible to defeat them because the Ultra Beast's power will revive them. According to Gladion in the anime, unless Nihilego is defeated, they will keep on battling infinitely. They appear to be made of a glass-like substance and have been seen moving like a young girl. Its home world is the Ultra Deep Sea. It is the only Rock/Poison Type Pokémon so far."
794,Buzzwole,"One of the Ultra Beasts, known as UB-02 Absorption,[38] Buzzwole are extremely strong life forms able to strengthen themselves by absorbing the energy of their opponents. Its home world is the Ultra Jungle."
795,Pheromosa,"One of the Ultra Beasts, known as UB-02 Beauty,[38] Pheromosa are feminine Pokémon that can move at extremely quick speeds and give off a pheromone that causes any creature nearby to become infatuated with them. Its home world is the Ultra Desert."
796,Xurkitree,"One of the Ultra Beasts, known as UB-03 Lighting,[38] Xurkitree resemble wires and trees. They are capable of drawing electricity from the ground and giving off powerful discharges. Its home world is the Ultra Plant."
797,Celesteela,"One of the Ultra Beasts, known as UB-04 Blaster,[38] Celesteela are rocket-like life forms that expel a powerful gas stored within themselves for flight. According to Professor Burnet in the anime, they create the RP-1-like rocket fuel by absorbing the nutrients of nearby plants. Despite their Steel typing, they are plant-like in composition. They seem to have a resemblance to the Space Shuttle because the arms on its sides represent solid rocket boosters while the huge central section represents the External Tank. Its home world is the Ultra Crater."
798,Kartana,"One of the Ultra Beasts, known as UB-04 Blade,[38] Kartana are origami-like Pokémon with impossibly sharp edges all over their bodies that can cut anything. As demonstrated in the anime, the edges are sharp enough to open up an Ultra Wormhole. Its home world is the Ultra Forest."
799,Guzzlord,"One of the Ultra Beasts, known as UB-05 Glutton,[38] Guzzlord are massive creatures that constantly devour everything in sight. It seems to never get full. In the anime, it was revealed that it has a weak spot: the second face above its huge mouth. Its home world is the Ultra Ruin."
800,Necrozma,"An ancient creature associated with Ultra Beasts that uses prisms and light refraction to attack. It is also codenamed UB: Black in the anime. It has a major role in the story of Ultra Sun and Ultra Moon, possessing Solgaleo or Lunala depending on the version, becoming Dusk Mane Necrozma or Dawn Wings Necrozma, respectively and will absorb the endless light that they emit. It fuses with the latter two Pokémon in a similar fashion to Kyurem, when it fuses either Zekrom or Reshiram. It lives in the Ultra Megalopolis."
,,"""Dusk Mane Necrozma"", the mascot of (and exclusive to) Ultra Sun. Its vicious temper means no one is safe because it will tear up its victims with its many claws. Solgaleo has no say in this form because its body has been taken over by Necrozma. Using its armor that it gave Solgaleo, it can propel itself forward by shooting black light."
,,"""Dawn Wings Necrozma"", the mascot of (and exclusive to) Ultra Moon. Lunala is completely helpless because Necrozma took over its body. Its temper is so vicious it will expel all of its energy tearing up its victims. It can fire dark energy out of its body."
,,"""Ultra Necrozma"". The light it emits affects life in many ways. Its signature move in this form is Photon Geyser, and its signature Z-Move is Light That Burns The Sky. Its body temp is over 10,000 degrees F and will instantly melt anything that can touch it if it already hasn't incinerated it with the many laser beams that it naturally emits from all over its body that can reach over 18 miles away. Once it uses up all that light it absorbed, it will go into a deep slumber until it can absorb more light."
801,Magearna,"A man-made metallic Mythical Pokémon that contains an unknown secret within and has a connection to Volcanion. It was leaked on February 10, 2016, in that month's issue of CoroCoro Comic[39] and officially revealed by The Pokémon Company on February 14.[40] Its Soul-Heart is apparently what keeps it alive. Magearna was made by a scientist from a lost kingdom 500 years ago. It has an alternate form known as Original Color Magearna, which was not obtainable until the release of Pokémon Home. Magearna is the only known Pokemon capable of using the move Fleur Cannon."
802,Marshadow,Marshadow is a Mythical Pokémon available only through special event distributions.[41] It is also capable of hiding in shadows and reading people's feelings. It is the only Ghost/Fighting Type Pokémon so far.
803,Poipole,"One of the Ultra Beasts, known as UB Adhesive, introduced in Pokémon Ultra Sun and Ultra Moon. Poipole are alien-like Pokémon capable of understanding human feelings. It is the only Ultra Beast to evolve and apparently, it is the starter Pokémon in its world. It also cackles wildly as it sprays a very adhesive poison out of its needles on its head. In its home dimension, the Ultra Megalopolis, they are popular enough within the city's residents to be treated as starter Pokémon."
804,Naganadel,"One of the Ultra Beasts, known as UB Stinger, introduced in Pokémon Ultra Sun and Ultra Moon. Naganadel are dragon-like Pokémon that have a large stinger capable of ejecting highly adhesive poison which it stores hundreds of liters of inside its body."
805,Stakataka,"One of the Ultra Beasts, known as UB Assembly, introduced in Pokémon Ultra Sun and Ultra Moon. Exclusive to Ultra Moon. Stakataka are wall-like Pokémon which consist of many lifeforms. Its many eyes turn red when it's angry. When stone walls started to move, this Ultra Beast was found. It is said to be made up of approximately 150 life forms. If someone or something is on top, it will try everything it can to shake it off. If someone manages to ride it out like in a rodeo, just like Ash Ketchum did in the anime, Stakataka will stop and calm down."
806,Blacephalon,"One of the Ultra Beasts, known as UB Burst, introduced in Pokémon Ultra Sun and Ultra Moon. Exclusive to Ultra Sun. Blacephalon are clown-like Pokémon capable of using their exploding heads to trick its target and absorb their vitality."
807,Zeraora,"A Mythical Pokémon introduced in Pokémon Ultra Sun and Ultra Moon initially discovered through data mining and officially revealed on 8 April 2018 through a trailer for Pokémon the Movie: The Power of Us.[42] It is available only through special event distributions. It has a signature move, called Plasma Fists, that changes Normal-type moves into Electric ones on contact. After Plasma Fits is used, it causes a deluge of ions to rain down on the battlefield."
808,Meltan,"A Mythical Pokémon that appeared in Pokémon Go. Its appearance was initially teased as a transformed Ditto after the Pokémon Go Community Day in September 2018. When a Pokémon is transferred from Pokémon Go to a copy of Pokémon: Let's Go, Pikachu! or Let's Go, Eevee!, the player of the Pokémon Go game is awarded a Mystery Box item, which when opened causes Meltan to appear in the wild.[5] Its name was revealed in a trailer on Pokémon's official YouTube page. It evolves into Melmetal in Pokémon Go only.[5] It can melt metal into its own molten metal-like body. Ash managed to obtain one in the anime. It later evolved into Melmetal. Circulating metal is how it gets its energy."
809,Melmetal,"A Mythical Pokémon who can evolve from Meltan by using 400 Meltan candies in Pokémon Go. Legends say it can make metal out of nothing and it has come back to life after 3,000 years. After its life ends, it will eventually crumble to rust. The rusty pieces will then be reborn as Meltan again. In Generation VIII, Melmetal was given a Gigantamax form, which is obtainable by performing a transfer from Pokémon Go to Pokemon Home for the first time."
810,Grookey,"The Grass-type starter in Pokémon Sword and Shield. Grookey is a mischievous and curious monkey-like Pokémon.[5] It carries a special stick from the forests where its species live. Using energy from the sun transferred through Grookey, this stick can revitalize plants in the area where Grookey uses it as a drumstick.[6] In a poll held by The Pokémon Company International's official Twitter account, Grookey was the least popular of the three starters, receiving only 25% of the vote.[7] In Super Smash Bros. Ultimate, Grookey is a spirit along with Sobble and Scorbunny."
811,Thwackey,"Grookey evolves into Thwackey, who is a monkey-like Pokémon that is able to use its two sticks to practice its drumming. It keeps the beat alive during its daily life."
812,Rillaboom,"Thwackey's evolution, Rillaboom, is a gorilla-like Pokémon (also sharing apparent design traits from the Gigantopithecus) who has been given a tree stump drum in addition to its two sticks. It uses this drum to unleash powerful sound waves during battle. This Pokémon has a gentle nature."
813,Scorbunny,"The Fire-type starter in Pokémon Sword and Shield. Scorbunny are energetic rabbit-like Pokémon said to always be running.[5] It can run long and fast enough for the soles of its feet to ignite fires. They also have a fire-sac in their chest which becomes more powerful the more Scorbunny runs.[8] In a Twitter poll held by The Pokémon Company on the three starters, Scorbunny came in second receiving 37% of the vote, just shy of Sobble.[7] In Super Smash Bros. Ultimate, Scorbunny is a spirit along with Sobble and Grookey."
814,Raboot,"Scorbunny's evolution, Raboot, is a rabbit-like Pokémon with thick fur that makes it survive in cold weather. It never seems to use its hands in favor of using its feet to attack and to juggle Berries in order to eat them."
815,Cinderace,"Raboot's evolution, Cinderace, is a rabbit-like Pokémon with perfect physical abilities, such as jumping and kicking. It uses fire energy on a stone to make it into a flaming ball."
816,Sobble,"The Water-type starter in Pokémon Sword and Shield. Sobble are timid, chameleon-like Pokémon that can blend into their surroundings when exposed to water.[5][9] Sobble frequently start crying, which causes those around it to start crying in return, in order to distract opponents and escape conflict; its tears are said to be as potent as 100 onions.[9] In a Twitter poll held by The Pokémon Company on the three starters, Sobble was the most popular, receiving 38% of the vote.[7] In Super Smash Bros. Ultimate, Sobble is a spirit along with Grookey and Scorbunny."
817,Drizzile,"Sobble's evolution, Drizzile, is a chameleon-like Pokémon that can use its tongue for eating and attacking. It is a smart Pokémon in battle, often using water-based strategies."
818,Inteleon,"Drizzile's evolution, Inteleon, is a chameleon-like Pokémon with a spy-like behavior. It is able to fire water from its fingertips at Mach 3. It can also find the weaknesses of its opponent."
819,Skwovet,Skwovet is a small squirrel-like Pokémon. It can stuff food in its cheeks.
820,Greedent,"An overweight squirrel Pokémon, Greedent stuffs as much food as it can in its tail and most of them fall out, but because it's a bit dumb, it doesn't really seem or care to notice."
821,Rookidee,"Rookidee is a nimble chickadee-like Pokémon that is willing to challenge even the most powerful opponents; even if it loses, this only benefits it, as it still gets stronger little by little. Along with its evolution Corvisquire, are the first ever regional birds to be pure Flying-type and the 2nd and 3rd Pokemon to be pure flying type after Tornadus."
822,Corvisquire,"A raven-like Pokémon, Corvisquire is very intelligent and is smart enough to use tools like rocks and rope in combat."
823,Corviknight,"Corviknight are large, raven-like Pokémon with steel bodies who are frequently used to taxi people around the Galar region through the transit system known as Flying Taxi. Their design draws inspiration from the legend of ravens guarding the Tower of London.[2] Certain Corviknight are capable of Gigantamax and grow to more than 14 m (46 ft) in height. The energy produced by Gigantamax Corviknight causes its steel feather to form ""blade birds"" that fly around the creature and can be used to attack.[10] In Super Smash Bros. Ultimate, Corviknight is a spirit."
824,Blipbug,"A larva-like Pokémon, Blipbug is very smart and intelligent. However it is not very strong."
825,Dottler,"Dottler has an orange, blob-like body, though most of it is covered by its geometric-shaped, radome-like shell, with only its face and underside visible. It has cyan, beady, crystalline eyes similar to those of its pre-evolved form; a pair of blue feelers in a V-shape on each side of its face; and four blue feet under its body. Its shell is made up of yellow triangular surfaces with blue circles around the points where the edges of the triangles meet. These blue circles constantly flash from top to bottom. The shell on Dottler's back is so heavy, it prevents it from getting food to eat and water to drink, leaving very small holes to breath through. While growing inside, Dottler uses its shell to examine its environment, using its psychic powers to keep itself protected and gather information about its habitat until it evolves."
826,Orbeetle,Orbeetle is a ladybug-resemblant Pokémon with a dome-shaped wing case. It is known for its incredibly high intelligence and psychic power.
827,Nickit,"Resembling the red fox, Nickit steals food from unsuspecting people and Pokémon, while using its bushy tail to brush away its footprints and cover its tracks."
828,Thievul,Thievul uses a scent-tracking technique to stalk its targets and steal from them. Its design seems to be influenced by common depictions of burglars and robbers.
829,Gossifleur,Gossifleur are flower-like Pokémon that can ride wind gusts by spinning their petals. They prefer unpolluted land and their pollen is used in folk medicine and tea.[2]
830,Eldegoss,"The evolution of Gossifleur, Eldegoss are cotton-like Pokémon whose seeds are used as a food source by people and Pokémon.[2]"
831,Wooloo,"Wooloo are peaceful, sheep-like Pokémon whose wool is used in certain Galar towns to create goods. When faced with combat, they tend to simply roll away. Their simple design originates from the abundance of sheep across the United Kingdom.[2] Wooloo proved popular with fans, with many of them creating fan art of it. Michael McWhertor of Polygon described Wooloo as ""perfect in every way"", while game director Shigeru Ohmori said that ""it definitely caught [him] by surprise just how popular it became"".[11][12]"
832,Dubwool,"Dubwool has four horns, similar to those of the Jacob sheep. Its majestic horns are used for nothing more than to attract mates."
833,Chewtle,"A small snapping turtle-like Pokémon, Chewtle first attacks with its single horn, then when foes flinch, it bites down with all of its vigor."
834,Drednaw,"Drednaw - resemblant of the alligator snapping turtle, is a slow species of Pokémon, but are known for their immense biting power. They are particularly stubborn and hard to raise, resulting in inexperienced trainers releasing them after capture.[2] Certain Drednaw are capable of Gigantamax and grow to more than 24 m (79 ft) in height. Becoming bipedal in the process, Gigantamax Drednaw use their massive bodies to crush opponents. By rapidly extending its neck, they can punch holes in large metal structures and mountains.[13]"
835,Yamper,"Yamper are corgi-like Pokémon often used for herding, and assists people with the intention of receiving treats as a reward. with the unique ability ""Ball Fetch"", which retrieves used Poké Balls. Upon its initial reveal, Yamper received positive reactions, with critics and fans calling it adorable.[14][15][16] Some have noted that Yamper's design may reference Queen Elizabeth II's fondness for Welsh and Pembroke corgis.[17]"
836,Boltund,Boltund resembles a greyhound. It can generate enough electricity in its legs to enable it to run for 3 full days straight.
837,Rolycoly,"Rolycoly are rock and coal Pokémon that were commonplace in Galar homes up until 100 years before the events of Sword and Shield. The coal that falls off their bodies was used for cooking and heating.[18] David Lozada of Game Revolution described Rolycoly's history as ""depressing"", and likened their usage to slavery. He also labeled Rolycoly as one of the weirdest Pokémon to date.[19]"
838,Carkol,"Resembling a minecart, Carkol produces coal that it stores inside of its hollowed back. The coal it produces once was a common source of fuel in the Galar region."
839,Coalossal,"Coalossal is a behemoth of a Pokémon, resembling a dinosaur such as a Tyrannosaurus rex or carnotaur. It is docile in nature, but when the coal mines that it calls home are vandalized, it will incinerate the offenders. When engaged in battle, the heap of coal on its back burns bright red as sparking cinders fly off of it. Gigantamax Coalossal raids are natively exclusive to Sword."
840,Applin,"Applin is a small inchworm-like Pokémon that takes shelter in a cored apple its whole life. Its Dragon typing and worm-like body may be inspired by wyrms. It evolves into Flapple or Appletun depending on the item it is given. Tart Apples, only found in Pokémon Sword, evolve Applin into Flapple and Sweet Apples, found exclusively in Pokémon Shield, evolve it into Appletun. It appears to be based on the Lindwurm."
841,Flapple,"A wyrm-like Pokémon, Flapple's evolution was induced by the Tart Apple that it ate. The shell of the apple it once inhabited has become armor and also serves as wing-like appendages which Flapple can use to fly. It can pull the pieces of the shell together to shield itself and spits a potent acid stored in its cheeks, capable of causing chemical burns. Its signature move is Grav Apple. It has a Gigantamax form. It appears to be based on the Lindwurm."
842,Appletun,"A large, lumbering Pokémon, Appletun's evolution was induced by the Sweet Apple that it ate. It generates a very sweet nectar from its back, the scent of which lures bug Pokémon that it preys on. The loose patches of skin on its back are considered to be especially delicious and were once known to be peeled off and eaten as a snack by children. Its signature move is Apple Acid. It has a Gigantamax form. It appears to be based on the Lindwurm."
843,Silicobra,"A cobra-resemblant Pokémon, Silicona has a pouch full of sand around its neck. When attacked, it spits the sand out to blind its predator, then digs into the ground to escape."
844,Sandaconda,"Sandaconda are anaconda-like Pokémon with a large sand pouch on its neck. This pouch is so thick that a Durant's mandibles can't pierce through it. They expel the sand stored inside through their nostrils at high pressure, similarly to a double-barreled shotgun. When they take on a Gigantamax form, they resemble a tornado or dust devil and attack by spinning the sand around their body."
845,Cramorant,"Cramorant are cormorant-like Pokémon that activate their Gulping Form (or Gorging Form if below 50 percent health) after using the moves Surf or Dive. In Gulping Form, Cramorant emerges from its dive with an Arrokuda in its mouth. In Gorging Form, it emerges with a Pikachu in its mouth, face-first, kicking its legs. If any damage is dealt to Cramorant while in this state, they will counterattack by spitting a catch from their mouth. If Pikachu is spit at the opposing Pokémon, it becomes paralyzed. Its able to knock out foes with powerful attacks, but it may forget what its fighting mid-fight."
846,Arrokuda,"Arrokuda is a speedy barracuda-like Pokémon that enjoys charging at anything it sees, leading with the pointed lower jaw that it holds great pride in. Cramorant's Gulping form has it swallowing this Pokémon."
847,Barraskewda,"Barraskewda's lower jaw is as powerful as a spear and is used to pierce its prey when it rams into them at speeds of over 100 knots, which it can achieve with its rotating tailfins."
848,Toxel,"Literally known as the ""Baby Pokémon"", Toxel is a small lizard Pokémon that has a poison sac, but not as powerful as the poison of some other Pokémon. If you touch it, a stinging sensation will follow."
849,Toxtricity,"Toxtricity resembles a reptile or amphibian. There are two forms of Toxtricity based on the nature of the Toxel it evolves from; Low Key Form and Amped Form. The protruding organs on its belly can be clawed at to generate electricity and depending on the form, emanates sounds resemblant of an electric guitar or a bass guitar. A Gigantamax form was introduced in a Wild Area update on February 6, 2020. Raids for Amped Form Toxtricity Gigantamax appear natively in Sword, and raids for Low Key Form Toxtricity appear natively in Shield. For a limited time upon release, the appearances of these Gigantamax forms were more common in Max Raid Battles. The appearance stays the same for the two forms when Gigantamaxed."
850,Sizzlipede,"A centipede-like Pokémon, Sizzlipede stores flammable gas in its body for warmth. The yellow circles on its underside tend to be the hottest part."
851,Centiskorch,"Centiskorch are centipede-like Pokémon with a set of heat organs on its belly. They produce fire while doing this, in which fire makes up their antennae and rear end. When Centiskorch take on a Gigantamax form, they gain more legs and their fire becomes more powerful. Both Centiskorch and its Gigatamax form are inspired by the Ōmukade, a giant centipede yokai in Japanese mythology."
852,Clobbopus,"An octopus-like Pokémon, Clobbopus is very curious in nature. However to figure out what it is looking at, it will straight out punch it with its tentacle."
853,Grapploct,"Grapploct is skilled in jujitsu, attacking with powerful grabs and holds, with strength owed to its body being made entirely of muscle. It emerges onto land to test its skill against an opponent, then returns to the seafloor when the battle is finished."
854,Sinistea,"Sinistea are teacup Pokémon inspired by black tea. This Pokémon is unique in that it has authentic and phony forms, emulating antique collecting. Authentic Sinisteas have a seal of authenticity on the bottom of their cup, whereas phonies do not. Authentic Sinisteas are much rarer to find than their phony counterparts."
855,Polteageist,Polteageist are teapot Pokémon inspired by black tea. They can pour their power into leftover tea to multiply themselves. This Pokémon retains the authentic or forgery forms of the Sinistea from which it evolves.[20]
856,Hatenna,"Hatenna has a protrusion on its head resembling a witch's hat. This protrusion is used to sense other creatures' emotions; it finds comfort with those bearing a calm disposition, but will run at the sense of strong emotion."
857,Hattrem,Hattrem has no tolerance for strong emotion and those nearby bearing strong emotions will be pummeled into submission by the braids on its head.
858,Hatterene,"Known as the Forest Witch, Hatterene prefers to be secluded and deters oncoming beings with strong psychic powers capable of causing headaches. It battles opponents with the claw-like tip of the tentacle attached to its head protrusion."
859,Impidimp,"Impidimp are purple imp-like Pokémon that enjoy feeding off other creatures' negative emotion. Ben Reeves of Game Informer criticized the species' design as a ""monstrosity"".[14]"
860,Morgrem,"A gremlin-resemblant Pokémon, Morgrem goes down on all fours, almost acting like begging for forgiveness, but this is a ploy; those suckered into its con are pierced by its sword-like hair."
861,Grimmsnarl,"Inspired by mythical creatures such as the troll, the ogre and the oni, Grimmsnarl's body is covered in tightly-wrapped hair that serve as muscle fibers, enhancing its muscular ability. These hairs can also be used to ensnare its foes similarly to tentacles,"
862,Obstagoon,"The evolution of Galarian Linoone, the first known Pokémon to be evolved exclusively from their pre-evolved forms' regional counterparts. Galarian Linoone evolved into this Pokémon as a result of their survival instincts. It is the only Pokémon that can learn the move Obstruct. Obstagoon's design seems to be based on glam rock; notable traits such as its long tongue and star pattern over its right eye bear a strong resemblance to Gene Simmons from the American rock band Kiss. Simmons acknowledged the resemblance and called it ""flattering"". Its design also seems to take inspiration from another singer - the late David Bowie (specifically his persona Ziggy Stardust). Bowie was a native of the United Kingdom, which coincides with the Galar Region being based on the UK. [21]"
863,Perrserker,"The evolution of Galarian Meowth. Its design is based on Vikings due to the helmet, which is actually just hardened hair."
864,Cursola,"The evolution of Galarian Corsola, Cursola's shell has broken as a result of its excessive spirit energy. It fires its branches towards the sky after gathering beneath the full moon."
865,Sirfetch'd,"The evolution of Galarian Farfetch'd. Only the most experienced Farfetch'd in battle can evolve into Sirfetch'd. It uses its sharp leek as a weapon and for food, and retires from battle when it withers. Players must use Galarian Farfetch'd to land three critical hits in one single battle for it to evolve, even if it faints. Its leek sword and leek shield are apparently very tough."
866,Mr. Rime,"The evolution of Galarian Mr. Mime. Its design appears to be inspired by The Tramp, Charlie Chaplin's famous silent film character. When Mr. Rime dances, it waves its cane of ice in time with its movements. It can attack using psychic powers which it emanates from the pattern on its belly. The pattern, which resembles a face, tends to be more expressive than Mr. Rime’s actual face. Mime Jr. look up to Mr. Rime and attempt to imitate their tap dancing steps, which possibly influences their evolution into Galarian Mr. Mime."
867,Runerigus,"The evolution of Galarian Yamask, inspired by the Ingvar runestones. As soon as murals started moving, the existence of this Pokémon was then known. Those who touch its runestones will witness the horrific memories of the imagery inscribed on them."
868,Milcery,"This Pokémon resembles a blob of milk or cream has a unique way of evolving; depending on several factors, the Milcery will evolve into a different 'flavored' Alcremie. Players need to give their Milcery a 'sweet' obtained from cafes, and then using their leftstick spin the player character. The player character will strike a pose and then Milcery will evolve. The Milcery will evolve into different flavors of Alcremie based on how long the player 'stirs' it, what direction the player stirs the thumbstick, and what time of day it is."
869,Alcremie,"Alcremie are based on whipped cream. They can produce whipped cream that becomes richer the happier they are. Depending on how long they are spun around as a Milcery, in which direction, at what time of day, and what Sweet they are holding, Alcremie can take dozens of different forms. The Sweets that can be embedded into it include the Strawberry, Flower, Star, Clover, Berry, Ribbon, and Heart Sweets. [22] Certain Alcremie are capable of Gigantamax and in combination with a giant cake formed in the process grow to more than 29 m (95 ft) in height. The cake is extremely resistant to attacks. They use ""high-calorie cream missiles"" to attack opponents.[23] Critics and fans[who?] praised Alcremie's design as cute. Writers of Eater and Time also brought attention to sexual innuendos surrounding the Pokémon's descriptions.[22][16] David Lozada of Game Revolution called Alcremie one of the weirdest Pokémon to date.[19]"
870,Falinks,Falinks is actually multiple Pokémon acting militarily as one. The one with the longest horn is the brass or the leader. It is inspired by the phalanx battle formation.
871,Pincurchin,"A sea urchin-like Pokémon, Pincurchin feeds off of seaweed which it eats with its teeth. The spines on its back are laced with electricity."
872,Snom,"Snom resembles a grub. The more snow Snom eats, the bigger the icy spikes on its back are."
873,Frosmoth,"Resemblant of an arctic woolly bear moth and a moon moth, Frosmoth causes blizzards to chase away those who desecrate the fields and mountains it calls home. As it flies, icy scales flake off of its wings."
874,Stonjourner,Stonjourner are blocky Pokémon. The stones that make up their body can move like arms and legs. They often gather together in a ring-shaped formation. Stonjourner is based on the rock formations of Stonehenge. Exclusive to Sword.
875,Eiscue,"Eiscue are penguin-like Pokémon that cover their face in an ice cube ""mask"" to protect their heads. They produce freezing air to keep their heads cold, as they are sensitive to heat. They fish for food with the long single hair on their head. Eiscue changes from the bulky ""Ice Face"" to the faster ""Noice Face"" when hit by a physical attack, and can change back once per battle when Hail is active. Exclusive to Shield."
876,Indeedee,"These mammalian Pokémon resemble butlers and maids, respectively, and can sense other people's emotions, particularly enjoying those such as gratitude and optimism. In the wild, male Indeedee are exclusive to Sword, while females are exclusive to Shield. Both gender forms can be obtained in the same game via breeding."
877,Morpeko,"Morpeko are rodent Pokémon seemingly based on hamsters and guinea pigs. They have electric abilities; the electricity that they generate causes them to become hungry. When they get extremely hungry, they also become violent. Morpeko's signature move Aura Wheel changes type depending on whether it is in Full Belly Mode (Electric) or Hangry Mode (Dark). In Super Smash Bros. Ultimate, Morpeko is a spirit."
878,Cufant,"Resembling the Indian elephant, Cufant's copper-like skin tarnishes into a vivid green color. Its very strong, easily lifting objects over 5 tons. It likes to help out at construction sites."
879,Copperajah,"Copperajah is based on the Indian elephant. Their skin is resistant to water and use their large, strong trunks to dig through rock and stone. The Pokedex entry says it came to Galar from another region, implying that it originates from a Pokémon region that hasn't been discovered yet, possible a Pokémon region based on India."
